,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
80,Saint-Joseph,90,FR,1575598317,81,43.56,6.97,51.8,4.7
81,Tuktoyaktuk,90,CA,1575598317,84,69.44,-133.03,-2.2,34.45
82,Kahului,75,US,1575598231,65,20.89,-156.47,80.6,21.92
83,Talakan,100,RU,1575598317,89,50.29,130.28,-5.19,4.18
84,Touros,0,BR,1575598317,78,-5.2,-35.46,77.0,4.7
85,Korhogo,88,CI,1575598317,39,9.46,-5.63,71.64,2.98
86,Fougamou,100,GA,1575598317,98,-1.22,10.59,73.24,1.54
87,Plateros,5,MX,1575598317,24,23.23,-102.84,68.0,6.93
88,Kodiak,1,US,1575598317,70,39.95,-94.76,48.2,4.7
89,Kieta,0,PG,1575598317,66,-6.22,155.63,84.09,6.6
90,Jumla,54,NP,1575598317,14,29.28,82.18,43.54,0.92
91,Torbay,90,CA,1575598317,94,47.66,-52.73,35.01,8.05
92,Praia,75,BR,1575598317,88,-20.25,-43.81,68.0,7.2
93,Dergachi,100,RU,1575598318,94,51.24,48.77,32.2,16.62
94,Reinosa,3,ES,1575598318,100,43.0,-4.14,43.0,3.74
95,Tiksi,100,RU,1575598318,100,71.64,128.87,-12.77,2.42
96,Harper,1,US,1575598318,82,30.3,-99.24,62.01,16.44
97,Mahebourg,20,MU,1575598318,88,-20.41,57.7,75.0,5.82
98,Conceicao do Araguaia,0,BR,1575598280,72,-8.26,-49.26,76.35,2.55
99,Palmer,40,AU,1575598318,55,-34.85,139.16,72.0,20.8
100,Williamsburg,1,US,1575598318,74,37.27,-76.71,41.0,2.86
101,Tocopilla,0,CL,1575598318,30,-22.09,-70.2,52.3,2.28
102,Cobija,61,BR,1575598318,94,-11.02,-68.77,72.7,1.92
103,Codrington,0,AU,1575598318,11,-28.95,153.24,100.99,6.93
104,Saskylakh,0,RU,1575598318,96,71.97,114.09,-33.12,5.14
105,Nurota,40,UZ,1575598318,93,40.56,65.69,35.6,4.7
106,Bulgan,0,MN,1575598318,69,48.81,103.53,10.4,3.4
107,Lagoa,13,PT,1575598318,66,37.14,-8.45,55.4,9.17
108,Dali,0,CN,1575598318,47,34.79,109.94,39.47,10.49
109,Raahe,0,FI,1575598318,80,64.68,24.47,35.6,13.87
110,Mogadishu,65,SO,1575598302,75,2.04,45.34,81.14,4.88
111,Broome,100,GB,1575598318,87,52.47,1.45,50.0,18.34
112,Port Elizabeth,1,US,1575598318,55,39.31,-74.98,42.8,4.7
113,Stuttgart,0,DE,1575598297,100,48.78,9.18,41.0,1.12
114,Sheridan,90,US,1575598131,98,39.65,-105.03,36.0,8.05
115,Tabou,26,CI,1575598318,94,4.42,-7.36,75.38,3.49
116,Labytnangi,100,RU,1575598318,97,66.66,66.39,-1.77,7.49
117,Port Lincoln,0,AU,1575598319,55,-34.72,135.86,64.72,10.09
118,Bethel,90,US,1575598319,85,60.79,-161.76,15.8,11.41
119,Marrakesh,75,MA,1575598319,93,31.63,-7.99,53.6,4.7
120,Amahai,63,ID,1575598319,68,-3.31,129.0,83.98,3.36
121,Dingzhou,0,CN,1575598319,62,38.51,115.0,32.0,6.71
122,Chekhov,75,RU,1575598319,93,55.14,37.45,35.6,20.13
123,Santa Eulalia,38,GT,1575598319,96,15.73,-91.46,45.18,2.71
124,Tiarei,75,PF,1575598319,78,-17.53,-149.33,82.4,11.41
125,Fundata,0,RO,1575598319,42,45.44,25.28,39.0,5.99
126,Rock Sound,98,BS,1575598319,53,24.9,-76.2,73.76,8.21
127,Eureka,20,US,1575598206,59,40.8,-124.16,60.8,14.99
128,Buncrana,100,GB,1575598319,90,55.14,-7.45,51.53,11.25
129,Scarborough,99,GB,1575598319,87,54.28,-0.41,53.6,16.11
130,Visnes,100,NO,1575598319,93,59.36,5.22,48.2,12.75
131,Bolshaya Martynovka,100,RU,1575598319,85,47.27,41.67,34.14,10.45
132,Ellensburg,90,US,1575598319,86,47.0,-120.55,39.2,1.52
133,Emba,40,CY,1575598319,66,34.81,32.42,53.6,10.29
134,Nikolskoye,90,RU,1575598319,75,59.7,30.79,42.8,20.13
135,Athabasca,100,CA,1575598320,80,54.72,-113.29,17.6,9.22
136,Fortuna,20,US,1575598320,62,40.6,-124.16,59.0,12.75
137,Bambous Virieux,20,MU,1575598320,88,-20.34,57.76,75.0,5.82
138,Bluff,0,AU,1575598320,17,-23.58,149.07,99.39,6.87
139,Walvis Bay,0,NA,1575598320,88,-22.95,14.51,64.0,3.36
140,Porto Novo,75,BR,1575598320,94,-23.68,-45.44,69.8,2.24
141,Yellowknife,20,CA,1575598112,75,62.45,-114.38,-18.0,6.93
142,Iracoubo,96,GF,1575598320,82,5.48,-53.21,80.76,14.92
143,Longyearbyen,90,NO,1575598320,92,78.22,15.63,26.6,26.4
144,Pontal do Parana,75,BR,1575598320,94,-25.67,-48.51,68.0,3.36
145,Prabumulih,100,ID,1575598320,66,-3.5,104.19,85.05,5.61
146,Chase,90,US,1575598320,66,38.35,-98.35,51.01,12.75
147,Rorvik,100,NO,1575598320,93,64.86,11.24,35.01,3.0
148,Lorengau,43,PG,1575598320,72,-2.02,147.27,84.94,7.56
149,Ancud,100,CL,1575598320,76,-41.87,-73.83,53.6,6.93
150,Bonthe,34,SL,1575598321,81,7.53,-12.5,79.47,6.96
151,Kaeo,2,NZ,1575598321,88,-35.1,173.78,80.01,11.54
152,Capaci,20,IT,1575598321,93,38.17,13.24,57.99,5.82
153,Roald,100,NO,1575598321,75,62.58,6.12,41.0,11.41
154,Kijang,100,KR,1575598321,30,35.24,129.21,30.2,9.17
155,San Luis,0,AR,1575598321,25,-33.3,-66.34,71.2,10.8
156,Maryborough,0,AU,1575598321,17,-25.54,152.7,101.07,4.92
157,Novyy Urengoy,99,RU,1575598063,94,66.08,76.63,6.33,9.91
158,Aklavik,90,CA,1575598321,83,68.22,-135.01,-4.0,5.82
159,Hamilton,90,CA,1575598230,74,43.26,-79.87,34.0,9.17
160,Klaksvik,100,FO,1575598321,60,62.23,-6.59,39.2,10.29
161,Conceicao do Mato Dentro,100,BR,1575598321,93,-19.04,-43.42,68.68,3.27
162,Pevek,0,RU,1575598321,95,69.7,170.27,-4.83,2.66
163,Half Moon Bay,90,US,1575598321,82,37.46,-122.43,57.2,10.29
164,Paita,100,PE,1575598321,79,-5.09,-81.11,70.66,10.09
165,Qaanaaq,94,GL,1575598321,67,77.48,-69.36,-0.29,7.14
166,Miraflores,40,PE,1575598322,87,-16.39,-71.52,53.6,1.32
167,Sorland,100,NO,1575598322,75,67.67,12.69,39.58,32.23
168,Gat,100,SN,1575598322,77,14.69,-16.54,66.2,11.41
169,Dongying,0,CN,1575598322,40,37.43,118.67,33.44,5.95
170,Arrifes,20,PT,1575598322,87,37.77,-25.7,53.6,6.93
171,Hauterive,20,CA,1575598322,85,49.18,-68.27,28.0,5.82
172,Pangnirtung,100,CA,1575598322,94,66.15,-65.72,9.0,7.58
173,Mezen,100,RU,1575598322,96,65.85,44.24,22.28,1.28
174,Thinadhoo,71,MV,1575598322,79,0.53,72.93,82.85,9.82
175,Kloulklubed,90,PW,1575598322,83,7.04,134.26,82.4,6.93
176,Manali,0,IN,1575598322,22,32.25,77.19,43.92,6.22
177,Norman Wells,20,CA,1575598322,73,65.28,-126.83,-32.8,4.7
178,Vila Velha,40,BR,1575598322,78,-3.71,-38.6,80.6,8.05
179,Mar del Plata,69,AR,1575598084,62,-46.43,-67.52,55.9,10.02
180,Fukagawa,75,JP,1575598323,85,43.72,142.05,23.0,9.17
181,Upernavik,0,GL,1575598323,65,72.79,-56.15,7.38,15.48
182,Ryotsu,40,JP,1575598323,64,38.08,138.43,39.2,9.17
183,La Rioja,0,AR,1575598323,37,-29.41,-66.86,63.79,2.3
184,Hohhot,0,CN,1575598323,77,40.81,111.65,6.8,2.24
185,Bud,88,NO,1575598323,93,62.91,6.91,41.0,4.7
186,Lebu,74,ET,1575598323,88,8.96,38.73,50.97,1.34
187,Shimoda,75,JP,1575598323,50,34.7,138.93,52.0,19.46
188,Huarmey,77,PE,1575598323,83,-10.07,-78.15,65.21,1.92
189,East London,33,ZA,1575598323,81,-33.02,27.91,64.04,12.97
190,Kulhudhuffushi,87,MV,1575598323,80,6.62,73.07,82.81,23.51
191,Bilma,3,NE,1575598323,21,18.69,12.92,66.16,7.92
192,Flin Flon,93,CA,1575598323,95,54.77,-101.88,2.07,4.99
193,Namibe,58,AO,1575598323,81,-15.19,12.15,70.92,7.09
194,Coquimbo,53,CL,1575598323,82,-29.95,-71.34,57.2,4.7
195,Port-Cartier,90,CA,1575598323,92,50.03,-66.88,23.0,3.36
196,Camargo,100,MX,1575598324,30,27.69,-105.17,70.57,6.08
197,Boa Vista,20,BR,1575598031,65,2.82,-60.67,82.4,10.29
198,Caibarien,20,CU,1575598324,88,22.52,-79.47,64.4,3.36
199,Aksha,0,RU,1575598324,78,50.28,113.29,11.41,6.04
200,Sobolevo,0,RU,1575598324,82,54.43,31.9,29.46,12.41
201,Khatanga,32,RU,1575598324,82,71.98,102.47,-18.26,14.7
202,Henties Bay,77,NA,1575598324,90,-22.12,14.28,64.0,1.01
203,Batagay,100,RU,1575598324,96,67.65,134.64,-37.98,1.66
204,Carnarvon,54,ZA,1575598324,90,-30.97,22.13,57.22,8.1
205,Puerto Cabezas,92,NI,1575598324,87,14.04,-83.39,72.75,5.77
206,Georgetown,20,GY,1575598324,78,6.8,-58.16,82.4,6.93
207,High Prairie,100,CA,1575598096,81,55.43,-116.48,19.8,8.25
208,Tazovskiy,100,RU,1575598324,95,67.47,78.7,10.85,7.0
209,Coari,18,BR,1575598324,86,-4.09,-63.14,77.29,2.04
210,Sistranda,75,NO,1575598324,86,63.73,8.83,41.0,16.11
211,Luderitz,100,NA,1575598324,87,-26.65,15.16,60.8,6.93
212,Faanui,100,PF,1575598325,68,-16.48,-151.75,83.03,8.21
213,Tunduma,14,ZM,1575598325,97,-9.31,32.77,60.17,3.33
214,Shar,5,NG,1575598325,34,7.3,8.73,75.63,4.0
215,Tucupita,16,VE,1575598325,98,9.06,-62.05,72.7,2.86
216,Victoria,75,BN,1575598325,94,5.28,115.24,77.0,2.24
217,Umm Lajj,0,SA,1575598325,44,25.02,37.27,64.27,2.77
218,Meulaboh,45,ID,1575598325,77,4.14,96.13,80.78,7.05
219,Nanortalik,100,GL,1575598325,68,60.14,-45.24,30.72,12.5
220,Ust-Maya,100,RU,1575598325,92,60.42,134.54,-32.33,5.86
221,Salinopolis,12,BR,1575598325,77,-0.61,-47.36,81.95,17.87
222,Labuhan,100,ID,1575598325,62,-2.54,115.51,89.13,1.52
223,The Valley,40,AI,1575598325,74,18.22,-63.06,82.4,4.7
224,Wunsiedel,90,DE,1575598325,100,50.04,12.0,26.6,3.36
225,Malangali,99,TZ,1575598325,86,-8.57,34.85,60.44,11.05
226,Acapulco,40,MX,1575598325,78,16.86,-99.88,82.4,2.48
227,Mahenge,100,TZ,1575598325,89,-8.68,36.72,71.38,1.41
228,Cape Town,0,ZA,1575598048,43,-33.93,18.42,71.6,6.93
229,Antofagasta,51,CL,1575598093,77,-23.65,-70.4,62.6,11.41
230,Oistins,40,BB,1575598163,74,13.07,-59.53,80.6,19.46
231,Abu Dhabi,0,AE,1575598142,77,24.47,54.37,68.0,2.24
232,El Tambo,100,CO,1575598326,96,1.41,-77.39,60.98,3.29
233,Alugan,1,PH,1575598326,69,12.22,125.48,84.2,3.0
234,Vardo,1,US,1575598326,55,39.62,-77.74,37.4,4.29
235,Nampula,40,MZ,1575598326,83,-15.12,39.26,75.2,11.41
236,Flinders,100,AU,1575598326,39,-34.58,150.85,82.4,11.41
237,Hue,75,VN,1575598326,46,16.47,107.58,71.6,10.29
238,Rawson,41,AR,1575598326,72,-43.3,-65.11,58.05,23.47
239,Vao,100,EE,1575598326,86,59.1,26.19,40.55,14.7
240,Baton Rouge,1,US,1575598249,54,30.45,-91.15,59.0,6.93
241,Lata,0,IN,1575598326,9,30.78,78.62,27.66,5.95
242,Pokhara,19,NP,1575598327,47,28.21,83.99,62.87,1.23
243,Chuy,0,UY,1575598327,82,-33.69,-53.46,54.55,2.84
244,Spirovo,100,RU,1575598327,88,57.42,34.99,34.86,12.37
245,Nantucket,40,US,1575598056,47,41.28,-70.1,37.4,18.34
246,Cintalapa,41,MX,1575598327,98,16.7,-93.73,63.82,1.99
247,Maha Sarakham,0,TH,1575598327,59,16.19,103.3,62.6,8.05
248,Pringsewu,100,ID,1575598327,63,-5.36,104.98,84.45,4.09
249,Presidente Epitacio,95,BR,1575598327,91,-21.76,-52.12,71.62,8.75
250,Chapeco,52,BR,1575598057,68,-27.1,-52.62,68.0,4.7
251,Cayenne,100,GF,1575598327,88,4.94,-52.33,77.0,4.85
252,Ubinskoye,100,RU,1575598327,97,55.31,79.68,29.86,11.45
253,Awjilah,33,LY,1575598328,47,29.14,21.3,55.45,5.26
254,Mbigou,91,GA,1575598328,99,-1.9,11.91,66.27,0.85
255,Hobyo,85,SO,1575598328,76,5.35,48.53,79.63,6.22
256,Bacolod,16,PH,1575598328,78,10.68,122.95,82.47,5.66
257,Bereda,75,ES,1575598328,100,43.27,-7.54,54.0,3.36
258,Victoria Falls,57,ZW,1575598328,78,-17.93,25.84,68.94,6.38
259,Nioro,93,GM,1575598328,37,13.79,-15.05,66.69,9.1
260,Vostok,14,RU,1575598328,81,46.45,135.83,-0.31,4.79
261,Sao Geraldo do Araguaia,26,BR,1575598328,84,-6.4,-48.55,75.02,3.33
262,Kavieng,58,PG,1575598328,68,-2.57,150.8,85.28,7.16
263,Barrancas,7,CO,1575598328,95,10.96,-72.8,70.11,2.42
264,Santa Isabel do Rio Negro,2,BR,1575598328,87,-0.41,-65.02,75.58,1.54
265,Naron,75,ES,1575598328,100,43.52,-8.15,54.0,3.36
266,Bogorodskoye,76,RU,1575598328,95,52.37,140.44,-4.72,5.19
267,Tuatapere,41,NZ,1575598328,89,-46.13,167.69,57.99,1.99
268,Santa Lucia,20,IT,1575598328,81,41.98,12.66,54.0,2.24
269,Cidreira,24,BR,1575598328,64,-30.17,-50.22,67.84,6.42
270,Ponta do Sol,100,BR,1575598328,98,-20.63,-46.0,67.82,6.11
271,Constitucion,40,MX,1575598329,18,23.99,-104.67,68.0,3.36
272,Alekseyevsk,21,RU,1575598329,95,57.84,108.35,-1.71,3.91
273,Dong Xoai,0,VN,1575598329,54,11.53,106.92,80.01,8.1
274,Preveza,40,GR,1575598329,81,38.96,20.75,53.6,5.82
275,Xichang,55,CN,1575598329,58,27.88,102.25,46.0,3.44
276,Xapuri,47,BR,1575598329,91,-10.65,-68.5,73.53,2.46
277,Grand-Santi,3,GF,1575598329,99,4.27,-54.38,71.92,1.83
278,Imbituba,75,BR,1575598329,83,-28.24,-48.67,69.8,13.87
279,Lujiang,63,CN,1575598329,86,31.26,117.28,37.4,4.47
280,Terrace Bay,100,CA,1575598329,96,48.78,-87.1,18.97,2.59
281,Ahipara,0,NZ,1575598329,88,-35.17,173.16,80.01,12.8
282,Azanja,90,RS,1575598329,84,44.43,20.88,32.0,3.36
283,Placido de Castro,0,BR,1575598329,85,-10.34,-67.19,75.11,0.85
284,Cuamba,51,MZ,1575598329,85,-14.8,36.54,69.08,7.34
285,Hay River,75,CA,1575598221,70,60.82,-115.79,-4.0,4.7
286,Lufilufi,58,WS,1575598330,79,-13.87,-171.6,81.28,17.45
287,Katsuura,75,JP,1575598330,63,33.93,134.5,53.01,11.41
288,Moron,6,HT,1575598330,85,18.56,-74.26,78.53,14.32
289,Candelaria,0,PH,1575598330,83,13.93,121.42,82.0,3.0
290,Port Hardy,90,CA,1575598330,93,50.7,-127.42,39.2,3.36
291,Dingle,71,PH,1575598330,73,11.0,122.67,84.2,5.82
292,Venado Tuerto,0,AR,1575598330,50,-33.75,-61.97,66.0,4.0
293,Bemidji,90,US,1575598330,79,47.48,-94.89,24.8,13.87
294,Copiapo,0,CL,1575598330,72,-27.37,-70.33,60.8,6.93
295,Kurtalan,90,TR,1575598330,87,37.93,41.7,46.4,5.82
296,Margate,40,AU,1575598330,38,-43.03,147.26,60.8,24.16
297,Yar-Sale,100,RU,1575598330,96,66.83,70.83,4.39,6.91
298,Salalah,75,OM,1575598330,57,17.01,54.1,78.8,14.99
299,Caravelas,0,BR,1575598330,87,-17.73,-39.27,71.8,10.56
300,Zhanaozen,0,KZ,1575598330,65,43.35,52.85,29.82,8.32
301,Les Cayes,3,HT,1575598330,77,18.19,-73.75,82.04,10.8
302,Sayyan,8,YE,1575598330,66,15.17,44.32,42.3,3.27
303,Zheleznodorozhnyy,90,RU,1575598330,86,55.75,38.0,35.6,11.18
304,Naze,0,NG,1575598330,91,5.43,7.07,74.66,3.27
305,Leningradskiy,100,RU,1575598331,84,69.38,178.42,16.7,13.04
306,Nelson Bay,29,AU,1575598331,16,-32.72,152.14,91.4,17.22
307,Capreol,90,CA,1575598331,78,46.71,-80.92,16.0,4.7
308,Raudeberg,100,NO,1575598331,86,61.99,5.14,41.0,5.82
309,Nador,75,MA,1575598331,87,35.17,-2.93,60.8,8.05
310,Leh,0,IN,1575598331,37,34.16,77.58,-0.74,1.99
311,Manicore,35,BR,1575598331,82,-5.81,-61.3,77.68,0.96
312,Pisco,75,PE,1575598331,82,-13.71,-76.2,69.01,17.22
313,Sur,0,OM,1575598331,59,22.57,59.53,70.74,10.87
314,Faya,40,SA,1575598331,58,18.39,42.45,57.2,1.48
315,Sens,90,FR,1575598331,84,48.2,3.28,32.0,3.36
316,Lamu,0,CN,1575598331,43,35.77,102.37,19.24,7.25
317,Cerritos,75,US,1575598331,67,33.86,-118.05,64.4,2.37
318,Salto,90,BR,1575598331,88,-23.2,-47.29,71.6,4.7
319,Rangapara,60,IN,1575598331,38,26.82,92.69,64.8,3.0
320,Churapcha,100,RU,1575598331,94,62.0,132.43,-35.37,7.52
321,Ulladulla,100,AU,1575598331,39,-35.36,150.48,82.4,11.41
322,Poso,100,ID,1575598331,67,-1.4,120.75,78.03,4.21
323,Coutances,90,FR,1575598331,93,49.05,-1.45,51.01,19.46
324,Nagorsk,100,RU,1575598332,97,59.32,50.8,33.76,15.3
325,Ibra,0,OM,1575598332,58,22.69,58.55,66.43,6.4
326,Ust-Tsilma,100,RU,1575598332,94,65.44,52.15,12.9,7.11
327,Sao Felix do Xingu,60,BR,1575598332,95,-6.64,-51.99,71.85,1.39
328,Ust-Kulom,100,RU,1575598332,97,61.69,53.69,32.85,11.88
329,Ekibastuz,66,KZ,1575598332,89,51.72,75.32,23.47,12.97
330,Warrnambool,100,AU,1575598332,74,-38.38,142.48,60.01,15.99
331,Ilulissat,0,GL,1575598332,42,69.22,-51.1,6.8,10.29
332,Skjeberg,100,NO,1575598332,93,59.21,11.19,44.6,12.75
333,Bluefields,100,NI,1575598332,94,12.01,-83.77,71.47,3.71
334,Magistralnyy,0,RU,1575598332,91,56.17,107.45,-0.87,5.17
335,Atar,100,MR,1575598332,50,20.52,-13.05,57.72,2.35
336,Urdoma,100,RU,1575598332,98,61.74,48.55,33.98,12.8
337,Samarai,26,PG,1575598332,62,-10.62,150.67,83.86,9.44
338,Qasigiannguit,0,GL,1575598332,42,68.82,-51.19,6.8,10.29
339,Tampakan,75,PH,1575598332,70,6.44,124.93,84.2,2.39
340,Takoradi,100,GH,1575598332,84,4.89,-1.75,79.59,8.3
341,Lobito,100,AO,1575598332,78,-12.35,13.55,75.81,5.08
342,Ostrovnoy,98,RU,1575598332,94,68.05,39.51,19.06,9.1
343,Neryungri,98,RU,1575598332,89,56.66,124.71,-11.92,21.56
344,Zeya,100,RU,1575598332,89,53.74,127.27,-7.1,0.22
345,Cambridge,90,CA,1575598077,74,43.39,-80.31,33.01,9.17
346,Brae,96,GB,1575598332,75,60.4,-1.35,46.4,14.99
347,Christchurch,80,NZ,1575598171,33,-43.53,172.64,77.0,11.41
348,Wladyslawowo,100,PL,1575598332,73,54.79,18.4,35.01,13.87
349,Shache,90,CN,1575598333,76,38.42,77.24,33.01,2.06
350,Sangar,100,RU,1575598333,91,63.92,127.47,-35.14,6.26
351,Corrente,100,BR,1575598333,91,-17.45,-44.68,70.41,1.54
352,Corrales,6,CO,1575598333,95,5.83,-72.84,45.48,1.41
353,Aswan,6,EG,1575598333,38,24.09,32.9,59.0,19.46
354,Idaho Falls,90,US,1575598328,80,43.49,-112.04,32.0,1.52
355,Baijiantan,100,CN,1575598333,72,45.63,85.18,21.45,2.37
356,Bontang,100,ID,1575598333,75,0.12,117.47,83.77,4.92
357,Rio Gallegos,40,AR,1575598068,50,-51.62,-69.22,51.8,27.51
358,Kalmunai,87,LK,1575598333,78,7.42,81.82,79.95,6.33
359,Bikaner,0,IN,1575598333,34,28.02,73.32,61.12,5.95
360,Severo-Kurilsk,96,RU,1575598333,88,50.68,156.12,20.28,30.0
361,Gravdal,100,NO,1575598333,93,59.79,5.78,46.4,12.75
362,Ardmore,90,US,1575598212,70,34.99,-86.85,53.6,4.7
363,Sao Gabriel da Cachoeira,100,BR,1575598333,94,-0.13,-67.09,75.2,1.41
364,Tautira,75,PF,1575598333,78,-17.73,-149.15,82.4,11.41
365,Sinnamary,100,GF,1575598333,82,5.38,-52.96,80.83,15.79
366,San Andres,0,PH,1575598333,62,13.32,122.68,86.25,3.06
367,Baran,99,IN,1575598334,41,25.1,76.52,60.73,3.69
368,Santa Ines,75,EC,1575598334,87,-0.82,-78.63,50.0,5.82
369,Puerto Baquerizo Moreno,97,EC,1575598334,82,-0.9,-89.6,72.81,13.35
370,Atbasar,100,KZ,1575598334,93,51.81,68.36,11.84,12.41
371,Byron Bay,0,AU,1575598334,43,-28.65,153.62,100.99,14.99
372,Nizwa,0,OM,1575598334,65,22.93,57.53,59.54,5.21
373,Tahoua,0,NE,1575598334,15,14.89,5.26,71.6,11.41
